script_name,relative_path,sha256,size_bytes,modified_utc,manifest_created_utc
00_setup_v4.py,scripts/00_setup_v4.py,2898b3a741e2bb1664304c7e584c6a59e98301b45e181278898dbe66bd741cf1,8554,2026-07-10T15:36:34+00:00,2026-07-11T19:21:45.876400+00:00
01_rebuild_from_frozen_raw_v4.py,scripts/01_rebuild_from_frozen_raw_v4.py,6c8c504f32ac4fcde5223ce12c2a233877f7cf83b44ecbd643fc5f3b935d19ad,19052,2026-07-10T15:48:21+00:00,2026-07-11T19:21:45.876400+00:00
02_preprocessing_v4.py,scripts/02_preprocessing_v4.py,63ef1fd390ed37c686c179826f85f2947a503c59667ed22ae577aa6debb274ef,42271,2026-07-10T16:50:24+00:00,2026-07-11T19:21:45.876400+00:00
03_baseline_sanity_v4.py,scripts/03_baseline_sanity_v4.py,bb02fbe0d45066c2370f1c0a5eb6d326555a1ccb5db6a331ce71b2d79dc09d39,24952,2026-07-10T17:03:25+00:00,2026-07-11T19:21:45.876400+00:00
04_small_model_test_v4.py,scripts/04_small_model_test_v4.py,c10947a6c3ef4e03874f59e6a14c51c3273c5b6057c4dc42aed1f06a27e002d5,33975,2026-07-10T17:14:54+00:00,2026-07-11T19:21:45.876400+00:00
05a_mini_grid_v4.py,scripts/05a_mini_grid_v4.py,4d42ebff5f59a995a0263009675f734c3cfabb743b5df23bf8f1365d932f3a47,52119,2026-07-10T17:41:06+00:00,2026-07-11T19:21:45.876400+00:00
05_grid_search_v4.py,scripts/05_grid_search_v4.py,5d250d9d727cef15e6411cd027aad6089bf62b2cbf4b2c13a8c0f28ff7191a78,63097,2026-07-10T17:53:36+00:00,2026-07-11T19:21:45.876400+00:00
06_best_model_multiseed_v4.py,scripts/06_best_model_multiseed_v4.py,35de2ee398699003dfef6be36b70c112fb2c0d1b1e9577cbf64bef58877e16d8,67206,2026-07-11T21:00:45+00:00,2026-07-11T21:05:49.670339+00:00
07_final_test_evaluation_v4.py,scripts/07_final_test_evaluation_v4.py,8b0e3cf2edb9508b4fddd402ddcdbf8c4d2acd6080ffe6fe1876ad818306cd74,42587,2026-07-11T22:42:00+00:00,2026-07-11T22:45:50.896438+00:00
08A_naive_baselines_test_v4.py,scripts/08A_naive_baselines_test_v4.py,95a9658e97f57eaa1a9bb63ec29d8159432f06438bd57ff54fc8ab43013487e8,39126,2026-07-11T23:24:03+00:00,2026-07-11T23:27:35.114375+00:00
08B_learned_baselines_test_v4.py,scripts/08B_learned_baselines_test_v4.py,df4fa2b29a6b522fc410f693a30520e045c144a15f7c7368af5eb6a1f0f12566,49422,2026-07-13T20:45:37+00:00,2026-07-15T10:57:17.052164+00:00
08B_FINAL_AUDIT_v4.py,scripts/08B_FINAL_AUDIT_v4.py,b5f69e161ac5baa86f8df5aa7fa61867dfd300c2c9ccc212c2cd4d7be155ac63,66115,2026-07-15T12:49:47+00:00,2026-07-15T13:00:40.756277+00:00
