task,output_index,output_name,feature_index,feature_name,mean_abs_shap_raw,normalized_share_within_output,rank_within_output
return,0,BIST100_NextRet,0,BIST100_LogRet,0.00020521968740134516,0.2044287571403216,1
return,0,BIST100_NextRet,3,USDTRY_Vol20,0.00019130772365724455,0.19057041102547873,2
return,0,BIST100_NextRet,1,BIST100_Vol20,0.00017166122562254344,0.17099963189482406,3
return,0,BIST100_NextRet,6,GOLD_LogRet,0.00011411555172838649,0.11367574283744483,4
return,0,BIST100_NextRet,4,EURTRY_LogRet,9.71614193387238e-05,0.09678695279639492,5
return,0,BIST100_NextRet,5,EURTRY_Vol20,8.522272544638061e-05,0.08489427142066805,6
return,0,BIST100_NextRet,2,USDTRY_LogRet,7.189648595120848e-05,0.07161939213472265,7
return,0,BIST100_NextRet,7,GOLD_Vol20,6.728415835071732e-05,0.06702484075014517,8
return,1,USDTRY_NextRet,0,BIST100_LogRet,0.0003574865277504184,0.3676690174789751,1
return,1,USDTRY_NextRet,1,BIST100_Vol20,0.0001285529118686406,0.13221455672254787,2
return,1,USDTRY_NextRet,6,GOLD_LogRet,9.733999653647064e-05,0.10011258637684176,3
return,1,USDTRY_NextRet,3,USDTRY_Vol20,9.350634018308016e-05,0.09616973383447358,4
return,1,USDTRY_NextRet,4,EURTRY_LogRet,9.304262076851935e-05,0.09569280603915109,5
return,1,USDTRY_NextRet,2,USDTRY_LogRet,8.11285529155954e-05,0.0834393830941594,6
return,1,USDTRY_NextRet,5,EURTRY_Vol20,6.383272650332269e-05,0.0656509099354537,7
return,1,USDTRY_NextRet,7,GOLD_Vol20,5.741560554972907e-05,0.05905100651839759,8
return,2,EURTRY_NextRet,0,BIST100_LogRet,0.00030110159136803306,0.34542533517462315,1
return,2,EURTRY_NextRet,1,BIST100_Vol20,0.0001278424833063842,0.14666157174734962,2
return,2,EURTRY_NextRet,3,USDTRY_Vol20,8.849252940161416e-05,0.10151909689391306,3
return,2,EURTRY_NextRet,2,USDTRY_LogRet,8.16704045733531e-05,0.09369271927598533,4
return,2,EURTRY_NextRet,4,EURTRY_LogRet,8.095276323683382e-05,0.0928694373462019,5
return,2,EURTRY_NextRet,6,GOLD_LogRet,7.133872786639624e-05,0.08184016521540487,6
return,2,EURTRY_NextRet,5,EURTRY_Vol20,7.110775430126776e-05,0.08157519112214787,7
return,2,EURTRY_NextRet,7,GOLD_Vol20,4.9177321836163256e-05,0.056416483224374175,8
return,3,GOLD_NextRet,3,USDTRY_Vol20,0.0001711356584815103,0.1962026866295138,1
return,3,GOLD_NextRet,0,BIST100_LogRet,0.00016570534171385037,0.18997696635287553,2
return,3,GOLD_NextRet,1,BIST100_Vol20,0.00016130812566518424,0.18493566981600026,3
return,3,GOLD_NextRet,6,GOLD_LogRet,9.886178252887595e-05,0.11334252317288894,4
return,3,GOLD_NextRet,5,EURTRY_Vol20,8.620199005916135e-05,0.09882839258917744,5
return,3,GOLD_NextRet,4,EURTRY_LogRet,7.374104070156335e-05,0.08454223058408493,6
return,3,GOLD_NextRet,7,GOLD_Vol20,6.741495180763457e-05,0.07728953031192011,7
return,3,GOLD_NextRet,2,USDTRY_LogRet,4.787022778916585e-05,0.05488200054353898,8
volatility,4,BIST100_NextVol,1,BIST100_Vol20,0.008795494006057752,0.8348091546328368,1
volatility,4,BIST100_NextVol,3,USDTRY_Vol20,0.0005590761463708312,0.05306374887024772,2
volatility,4,BIST100_NextVol,0,BIST100_LogRet,0.0003851069611993625,0.03655176349397077,3
volatility,4,BIST100_NextVol,5,EURTRY_Vol20,0.0003313529515665833,0.031449794314211306,4
volatility,4,BIST100_NextVol,7,GOLD_Vol20,0.00021378532378152546,0.02029106554970583,5
volatility,4,BIST100_NextVol,4,EURTRY_LogRet,0.00011723317333167918,0.011126984596492182,6
volatility,4,BIST100_NextVol,6,GOLD_LogRet,8.681748649936355e-05,0.00824013210195638,7
volatility,4,BIST100_NextVol,2,USDTRY_LogRet,4.706777181105349e-05,0.004467356440579084,8
volatility,5,USDTRY_NextVol,3,USDTRY_Vol20,0.0072317125753214246,0.8097007330071727,1
volatility,5,USDTRY_NextVol,5,EURTRY_Vol20,0.0006733203572670839,0.0753885032278924,2
volatility,5,USDTRY_NextVol,1,BIST100_Vol20,0.0004568860809825242,0.051155378593829376,3
volatility,5,USDTRY_NextVol,2,USDTRY_LogRet,0.0002464879575789342,0.02759809351524638,4
volatility,5,USDTRY_NextVol,0,BIST100_LogRet,0.00012087639424877933,0.01353395948844807,5
volatility,5,USDTRY_NextVol,7,GOLD_Vol20,8.594267946099014e-05,0.009622596284265523,6
volatility,5,USDTRY_NextVol,4,EURTRY_LogRet,6.155249359855178e-05,0.00689174226244072,7
volatility,5,USDTRY_NextVol,6,GOLD_LogRet,5.456149931510422e-05,0.0061089936207049346,8
volatility,6,EURTRY_NextVol,5,EURTRY_Vol20,0.0037246212367995236,0.6441552850036872,1
volatility,6,EURTRY_NextVol,3,USDTRY_Vol20,0.0012590460171945231,0.21774593830528283,2
volatility,6,EURTRY_NextVol,1,BIST100_Vol20,0.00028097197130227443,0.04859274775756376,3
volatility,6,EURTRY_NextVol,4,EURTRY_LogRet,0.0002500073651498868,0.043237568416359846,4
volatility,6,EURTRY_NextVol,0,BIST100_LogRet,9.276061224551668e-05,0.016042500651548386,5
volatility,6,EURTRY_NextVol,7,GOLD_Vol20,8.54761277544495e-05,0.014782684180255232,6
volatility,6,EURTRY_NextVol,6,GOLD_LogRet,4.615584885088099e-05,0.007982431522802017,7
