task,output_index,output_name,lag_index,lag_name,mean_abs_shap_raw,normalized_share_within_output,rank_within_output
return,0,BIST100_NextRet,9,t,0.0005023246182580437,0.4003109007398489,1
return,0,BIST100_NextRet,8,t-1,9.422831995774546e-05,0.07509212621968434,2
return,0,BIST100_NextRet,5,t-4,9.33969364611444e-05,0.07442958278803104,3
return,0,BIST100_NextRet,0,t-9,9.239806133070441e-05,0.07363356246838257,4
return,0,BIST100_NextRet,2,t-7,9.120218584943809e-05,0.07268054926998802,5
return,0,BIST100_NextRet,6,t-3,8.731913487962342e-05,0.06958608092253635,6
return,0,BIST100_NextRet,7,t-2,7.683229665502127e-05,0.061228943917861295,7
return,0,BIST100_NextRet,1,t-8,7.576075114884486e-05,0.06037501135877485,8
return,0,BIST100_NextRet,4,t-5,7.379392775309618e-05,0.05880761685623445,9
return,0,BIST100_NextRet,3,t-6,6.75799895770256e-05,0.05385562545865832,10
return,1,USDTRY_NextRet,9,t,0.0006186894947308091,0.5090495803210842,1
return,1,USDTRY_NextRet,8,t-1,8.07955439695549e-05,0.06647751109368806,2
return,1,USDTRY_NextRet,2,t-7,7.989718241013742e-05,0.06573835101631025,3
return,1,USDTRY_NextRet,0,t-9,7.467807742884978e-05,0.061444140070426784,4
return,1,USDTRY_NextRet,6,t-3,6.591306248760986e-05,0.05423240103922253,5
return,1,USDTRY_NextRet,4,t-5,6.133244317366076e-05,0.05046352770415647,6
return,1,USDTRY_NextRet,3,t-6,6.127311394341503e-05,0.05041471239370659,7
return,1,USDTRY_NextRet,1,t-8,6.0051044853363494e-05,0.04940921001696949,8
return,1,USDTRY_NextRet,5,t-4,5.77902485664225e-05,0.04754905656219083,9
return,1,USDTRY_NextRet,7,t-2,5.4961391030897526e-05,0.04522150978224481,10
return,2,EURTRY_NextRet,9,t,0.0005160869032193381,0.4736460958942629,1
return,2,EURTRY_NextRet,8,t-1,7.775598710596701e-05,0.07136166311411624,2
return,2,EURTRY_NextRet,0,t-9,7.396751094034761e-05,0.06788473522844295,3
return,2,EURTRY_NextRet,2,t-7,7.38415618659315e-05,0.06776914367398465,4
return,2,EURTRY_NextRet,6,t-3,6.082717445133996e-05,0.055825004516558856,5
return,2,EURTRY_NextRet,1,t-8,5.984947882619326e-05,0.054927710450511175,6
return,2,EURTRY_NextRet,5,t-4,5.885755190667149e-05,0.054017355411634646,7
return,2,EURTRY_NextRet,4,t-5,5.8187697097326705e-05,0.05340258663280495,8
return,2,EURTRY_NextRet,3,t-6,5.752265180917581e-05,0.05279223186045826,9
return,2,EURTRY_NextRet,7,t-2,5.270795264026558e-05,0.04837347321722549,10
return,3,GOLD_NextRet,9,t,0.0003860598080476777,0.35408621305798726,1
return,3,GOLD_NextRet,8,t-1,9.856783515147037e-05,0.09040441597535537,2
return,3,GOLD_NextRet,2,t-7,8.835815607291785e-05,0.08104030573620931,3
return,3,GOLD_NextRet,5,t-4,8.437641879737366e-05,0.07738833719688094,4
return,3,GOLD_NextRet,0,t-9,8.256741081909934e-05,0.07572915182957192,5
return,3,GOLD_NextRet,6,t-3,7.669790179507145e-05,0.07034575739300045,6
return,3,GOLD_NextRet,1,t-8,7.335175196090454e-05,0.06727673674281545,7
return,3,GOLD_NextRet,4,t-5,6.875339449895231e-05,0.06305921669527785,8
return,3,GOLD_NextRet,3,t-6,6.64392616736243e-05,0.06093674107996494,9
return,3,GOLD_NextRet,7,t-2,6.512695961659093e-05,0.05973312429293652,10
volatility,4,BIST100_NextVol,9,t,0.011903478049473011,0.9038384828255973,1
volatility,4,BIST100_NextVol,8,t-1,0.00016833700032284937,0.012781933006710773,2
volatility,4,BIST100_NextVol,7,t-2,0.00016118343613560259,0.012238758434125838,3
volatility,4,BIST100_NextVol,6,t-3,0.00015518826992947467,0.011783541739852701,4
